Country_Code,Country_Namr,Long_Name,Table_Name,Literacy.PC1,Hi.Degree.PC1,Hi.Degree.PC2,Hi.Degree.PC3,Hi.Degree.PC4,Schl.Yrs.PC1,Schl.Yrs.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,SE_XPD_TOTL_GD_ZS,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,TM_TAX_MANF_SM_FN_ZS,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,Cluster
NER,Niger,Republic of Niger,Niger,-123.755608978989,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-10.6353688686097,-2.52961472469417,14.4,70.1,1.292284533,115,4.6,48.2,0,6.77798,61.40000153,0.5,6132741,11.87,32.74575,20.12336,12.33088,4
NPL,Nepal,Nepal,Nepal,10.2207255053505,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-7.73142947355644,6.37311538180625e-02,76.3,54.3,8.875449877,70,8.2,29.5,1.561029429,4.72197,81,10,15584793,12.21,35.05985,22.79732,60.00969,4
PNG,Papua New Guinea,The Independent State of Papua New Guinea,Papua New Guinea,-12.2922948802957,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-7.27505812821959,-0.929039330508758,18.10671,0,8.174924883,66,0,39.3,0,7.38971,70.40000153,0,3365826,3.16,0,0,9.31865,4
RWA,Rwanda,Republic of Rwanda,Rwanda,5.07235763194027,-2.27681336539703,-0.540749155646032,0.375835613063242,0.120024111237566,-7.40582907544901,-0.179817693254932,18,53.2,5.264096437,34,11.7,33,3.335622747,5.02795,85.19999695,4.5,5694092,11.35,22.59902,22.61891,25.80991,4
SDN,Sudan,Republic of the Sudan,Sudan,22.8766594668559,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-8.46259355512876,-1.65473310399614,32.56256,91.6,4.230590563,70,7,45.4,0,2.21868,45.70000076,0,12474754,19.13,0,0,46.40313,4
SEN,Senegal,Republic of Senegal,Senegal,-25.8424265465085,-2.1269190075614,-1.23843358777223,-4.03504802874843e-02,0.2593596067101,-9.05213768045727,-1.80913911476887,56.5,39.4,4.821965518,81,9.3,47.3,4.134449688,5.59998,69,0,6316988,11.87,34.78689,25.1471,30.5844,4
SLE,Sierra Leone,Republic of Sierra Leone,Sierra Leone,-38.0797365075002,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-7.96653744204815,-0.479574774511545,14.2,75.6,0.401917039,82,13.8,31,2.828092846,2.72976,65.09999847,0,2440884,11.59,19.83891,22.50521,7.54674,4
SWZ,Swaziland,Kingdom of Swaziland,Swaziland,43.4040118767708,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-6.36918822897778,-6.11071939752983e-02,42,32.7,32.07532397,137,22.1,34.7,3.448592603,8.63695,44.79999924,0,457000,8.08,19.32175,12.55396,17.55338,4
TGO,Togo,Republic of Togo,Togo,6.20016150378699,-2.18576616379885,3.45946019252208e-02,0.746401073718722,0.431361930561155,-6.08922846480996,0.671108040465509,31.46256,51.2,4.818009163,51,6.6,48.5,0,4.83798,75.40000153,0,3318091,11.87,33.93276,16.20854,24.43975,4
TZA,Tanzania,United Republic of Tanzania,Tanzania,25.4908413998911,-2.23242749209581,0.493019122208458,2.44304095728824,1.15046354902883,-4.94006962247932,0.148308364283171,15.3,50.7,5.744827398,109,17.6,43.9,3.380111122,3.48143,86.30000305,0,25284702,11.35,0,0,34.44989,4
UGA,Uganda,Republic of Uganda,Uganda,17.2413095802866,-1.88223745504896,0.623709618551143,1.83007594068129,1.13265138069602,-5.0994322953869,-0.603181690263887,18.16256,53.6,4.227783433,86,11.6,36.5,2.533933393,2.20093,74.5,3.5,15111603,11.34,19.01322,18.01159,24.47362,4
